2010-11-18 06:47:52 Warning: Warning (2): mysql_connect() [<a href='http://php.net/function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'user'@'localhost' (using password: YES) in [D:\program files\xampp\htdocs\cakephp\cake\libs\model\datasources\dbo\dbo_mysql.php, line 552]
2010-11-18 06:47:52 Warning: Warning (2): mysql_select_db(): supplied argument is not a valid MySQL-Link resource in [D:\program files\xampp\htdocs\cakephp\cake\libs\model\datasources\dbo\dbo_mysql.php, line 558]
2010-11-18 06:47:52 Warning: Warning (2): mysql_get_server_info(): supplied argument is not a valid MySQL-Link resource in [D:\program files\xampp\htdocs\cakephp\cake\libs\model\datasources\dbo\dbo_mysql.php, line 566]
2010-11-18 06:47:52 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [D:\program files\xampp\htdocs\cakephp\cake\libs\model\datasources\dbo\dbo_mysql.php, line 600]
2010-11-18 06:47:52 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at D:\program files\xampp\htdocs\cakephp\cake\libs\debugger.php:673) in [D:\program files\xampp\htdocs\cakephp\cake\libs\controller\controller.php, line 746]
2010-11-18 06:47:55 Warning: Warning (2): mysql_connect() [<a href='http://php.net/function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'user'@'localhost' (using password: YES) in [D:\program files\xampp\htdocs\cakephp\cake\libs\model\datasources\dbo\dbo_mysql.php, line 552]
2010-11-18 06:47:55 Warning: Warning (2): mysql_select_db(): supplied argument is not a valid MySQL-Link resource in [D:\program files\xampp\htdocs\cakephp\cake\libs\model\datasources\dbo\dbo_mysql.php, line 558]
2010-11-18 06:47:55 Warning: Warning (2): mysql_get_server_info(): supplied argument is not a valid MySQL-Link resource in [D:\program files\xampp\htdocs\cakephp\cake\libs\model\datasources\dbo\dbo_mysql.php, line 566]
2010-11-18 06:47:55 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [D:\program files\xampp\htdocs\cakephp\cake\libs\model\datasources\dbo\dbo_mysql.php, line 600]
2010-11-18 06:47:55 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at D:\program files\xampp\htdocs\cakephp\cake\libs\debugger.php:673) in [D:\program files\xampp\htdocs\cakephp\cake\libs\controller\controller.php, line 746]
2010-11-18 06:48:45 Warning: Warning (2): mysql_connect() [<a href='http://php.net/function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'user'@'localhost' (using password: YES) in [D:\program files\xampp\htdocs\cakephp\cake\libs\model\datasources\dbo\dbo_mysql.php, line 552]
2010-11-18 06:48:45 Warning: Warning (2): mysql_select_db(): supplied argument is not a valid MySQL-Link resource in [D:\program files\xampp\htdocs\cakephp\cake\libs\model\datasources\dbo\dbo_mysql.php, line 558]
2010-11-18 06:48:45 Warning: Warning (2): mysql_get_server_info(): supplied argument is not a valid MySQL-Link resource in [D:\program files\xampp\htdocs\cakephp\cake\libs\model\datasources\dbo\dbo_mysql.php, line 566]
2010-11-18 06:48:45 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [D:\program files\xampp\htdocs\cakephp\cake\libs\model\datasources\dbo\dbo_mysql.php, line 600]
2010-11-18 06:48:45 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at D:\program files\xampp\htdocs\cakephp\cake\libs\debugger.php:673) in [D:\program files\xampp\htdocs\cakephp\cake\libs\controller\controller.php, line 746]
2010-11-18 06:50:00 Warning: Warning (2): mysql_connect() [<a href='http://php.net/function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'user'@'localhost' (using password: YES) in [D:\program files\xampp\htdocs\cakephp\cake\libs\model\datasources\dbo\dbo_mysql.php, line 552]
2010-11-18 06:50:00 Warning: Warning (2): mysql_select_db(): supplied argument is not a valid MySQL-Link resource in [D:\program files\xampp\htdocs\cakephp\cake\libs\model\datasources\dbo\dbo_mysql.php, line 558]
2010-11-18 06:50:00 Warning: Warning (2): mysql_get_server_info(): supplied argument is not a valid MySQL-Link resource in [D:\program files\xampp\htdocs\cakephp\cake\libs\model\datasources\dbo\dbo_mysql.php, line 566]
2010-11-18 06:50:00 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [D:\program files\xampp\htdocs\cakephp\cake\libs\model\datasources\dbo\dbo_mysql.php, line 600]
2010-11-18 06:50:00 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at D:\program files\xampp\htdocs\cakephp\cake\libs\debugger.php:673) in [D:\program files\xampp\htdocs\cakephp\cake\libs\controller\controller.php, line 746]
2010-11-18 06:50:01 Warning: Warning (2): mysql_connect() [<a href='http://php.net/function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'user'@'localhost' (using password: YES) in [D:\program files\xampp\htdocs\cakephp\cake\libs\model\datasources\dbo\dbo_mysql.php, line 552]
2010-11-18 06:50:01 Warning: Warning (2): mysql_select_db(): supplied argument is not a valid MySQL-Link resource in [D:\program files\xampp\htdocs\cakephp\cake\libs\model\datasources\dbo\dbo_mysql.php, line 558]
2010-11-18 06:50:01 Warning: Warning (2): mysql_get_server_info(): supplied argument is not a valid MySQL-Link resource in [D:\program files\xampp\htdocs\cakephp\cake\libs\model\datasources\dbo\dbo_mysql.php, line 566]
2010-11-18 06:50:01 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [D:\program files\xampp\htdocs\cakephp\cake\libs\model\datasources\dbo\dbo_mysql.php, line 600]
2010-11-18 06:50:01 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at D:\program files\xampp\htdocs\cakephp\cake\libs\debugger.php:673) in [D:\program files\xampp\htdocs\cakephp\cake\libs\controller\controller.php, line 746]
